TEAM_ID,TEAM_NAME,TEAM_CITY,TEAM_STATE,TEAM_HEAD_COACH
1,Angle City FC,Los Angeles,CA,Freya Coombe
2,San Diego Wave FC,San Diego,CA,Casey Stoney
3,Chicago Red Stars,Chicago,IL,Chris Petrucelli
4,Orlando Pride,Orlando,FL,Amanda Cromwell
5,OL Reign,Tacoma,WA,Laura Harvey
6,FC Cincinnati,Cincinnati, OH,Chris Albright
7,Columbus Crew,Columbus,OH,Caleb Porter
8,Minnesota United,Saint Paul,MN,Adrian Heath
9,Orlando City,Orlando,FL,Oscar Pareja
10,New York Red Bulls,Harrison,NJ,Gerhard Struber
11,Portland Thorns FC,Portlond,OR,Rhian Emilie Wilkinson
12,Racing Louisville FC,Louisville, KY,Lars Kim Bjoerkegren
13,Houston Dash,Houston,TX,James Clarkson
14,Kansas City Current,Kansas City,KS,Matthew James Potter
